loan_id,no_of_dependents,education,self_employed,income_annum, loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
619,3, Not Graduate, Yes,2000000,6900000,6,834,2200000,2800000,6400000,3000000, Approved
620,3, Graduate, No,8900000,25400000,8,588,19400000,12100000,18800000,4500000, Approved
621,2, Graduate, No,5000000,10600000,4,570,11900000,900000,14800000,7100000, Approved
622,2, Graduate, No,4900000,17600000,6,860,13600000,7500000,12700000,5600000, Approved
623,4, Graduate, Yes,5300000,19200000,4,655,14200000,6900000,17800000,3900000, Approved
624,3, Not Graduate, Yes,8500000,27700000,4,457,3600000,400000,18900000,5200000, Approved
625,5, Graduate, Yes,700000,2100000,14,863,100000,1200000,2700000,600000, Approved
626,3, Not Graduate, Yes,5900000,18900000,4,742,10800000,4500000,23200000,8000000, Approved
627,3, Graduate, No,3500000,13300000,4,798,7400000,5300000,12100000,3600000, Approved
628,5, Not Graduate, Yes,7700000,18900000,16,552,15600000,6100000,23900000,6600000, Approved
629,2, Not Graduate, Yes,4500000,12500000,12,418,400000,4300000,12400000,4300000, Rejected
630,0, Graduate, No,9100000,22200000,6,419,7400000,600000,18200000,9800000, Rejected
631,1, Not Graduate, Yes,9000000,29900000,2,668,22100000,7200000,24400000,4700000, Approved
632,2, Not Graduate, No,8900000,29200000,8,608,10800000,5200000,33500000,11700000, Approved
633,5, Not Graduate, No,6500000,13800000,10,342,15300000,2300000,14400000,7300000, Rejected
634,4, Not Graduate, Yes,8100000,18000000,8,817,1400000,7800000,16900000,10800000, Approved
635,1, Not Graduate, No,8400000,29900000,16,476,16100000,2400000,32700000,7500000, Rejected
636,0, Not Graduate, No,5300000,20000000,6,881,15900000,3700000,19500000,4000000, Approved
637,2, Graduate, No,4100000,15600000,12,838,5500000,4800000,15100000,2700000, Approved
638,3, Not Graduate, No,6900000,27400000,4,406,10200000,6500000,23900000,5300000, Approved
639,1, Graduate, Yes,5200000,19500000,12,778,5200000,4300000,19900000,5800000, Approved
640,5, Not Graduate, Yes,2000000,7400000,14,799,3600000,3700000,4300000,1100000, Approved
641,3, Graduate, No,4600000,17800000,20,716,12600000,2600000,10800000,4500000, Approved
642,0, Graduate, Yes,7100000,20100000,16,756,8000000,5000000,17600000,5400000, Approved
643,0, Not Graduate, No,9300000,20100000,10,743,4800000,1800000,21900000,13600000, Approved
644,3, Not Graduate, No,5400000,19400000,20,731,13800000,3200000,20000000,4300000, Approved
645,3, Not Graduate, No,4100000,8500000,2,833,12000000,0,16200000,3400000, Approved
646,4, Not Graduate, No,4900000,11400000,8,470,12000000,7500000,14700000,4800000, Rejected
647,5, Graduate, Yes,5400000,21200000,20,734,7300000,1800000,11500000,7500000, Approved
648,0, Graduate, No,3000000,9600000,12,620,7900000,0,8600000,3600000, Approved
649,0, Not Graduate, Yes,6800000,14400000,8,812,15200000,4500000,21100000,6400000, Approved
650,4, Graduate, Yes,5100000,14000000,12,459,9800000,0,10400000,6800000, Rejected
651,0, Graduate, Yes,9800000,32600000,10,704,7000000,12100000,30000000,4900000, Approved
652,1, Graduate, Yes,1600000,4100000,6,391,4300000,1400000,5700000,700000, Rejected
653,4, Graduate, No,8000000,29100000,4,421,3100000,12000000,27000000,8800000, Approved
654,5, Graduate, No,2900000,6700000,14,796,3800000,3700000,9700000,4200000, Approved
655,4, Graduate, No,9200000,30300000,10,607,24000000,16600000,29600000,8900000, Approved
656,3, Not Graduate, No,9500000,20400000,14,376,2300000,6600000,25900000,8400000, Rejected
657,0, Graduate, Yes,3700000,8500000,8,424,1900000,5600000,14800000,4100000, Rejected
658,5, Graduate, Yes,7100000,20800000,6,442,2900000,7100000,28200000,7100000, Rejected
659,5, Not Graduate, No,5600000,17600000,14,448,6700000,3500000,18900000,6800000, Rejected
660,0, Graduate, Yes,1200000,2700000,2,638,1500000,500000,2700000,1500000, Approved
661,3, Not Graduate, No,1600000,5600000,6,710,3100000,800000,6000000,1600000, Approved
662,4, Not Graduate, Yes,1600000,4800000,20,641,4200000,1000000,4100000,1400000, Approved
663,2, Not Graduate, No,5300000,20200000,10,348,9200000,9500000,17300000,6100000, Rejected
664,5, Not Graduate, No,9100000,19900000,20,519,9300000,16400000,28900000,10500000, Rejected
665,4, Not Graduate, Yes,9400000,35000000,10,517,10700000,15100000,27500000,6700000, Rejected
666,3, Not Graduate, No,5900000,22400000,6,375,6500000,10500000,18100000,4800000, Rejected
667,2, Graduate, Yes,1100000,3400000,10,426,300000,800000,3900000,1400000, Rejected
668,4, Graduate, Yes,3100000,11500000,14,785,3200000,3100000,9100000,4200000, Approved
669,4, Not Graduate, No,2200000,8600000,20,373,4100000,1300000,5900000,1400000, Rejected
670,1, Graduate, No,6000000,20100000,6,476,13900000,10000000,15200000,5500000, Rejected
671,1, Graduate, Yes,2000000,5600000,18,320,2400000,2300000,4600000,2100000, Rejected
672,4, Graduate, No,7200000,22900000,18,657,14600000,400000,17400000,8800000, Approved
673,1, Not Graduate, Yes,500000,1900000,12,868,200000,500000,1800000,300000, Approved
674,1, Not Graduate, Yes,5800000,13900000,6,345,4000000,9300000,20900000,5500000, Rejected
675,0, Not Graduate, No,200000,300000,6,472,400000,100000,700000,0, Rejected
676,4, Not Graduate, Yes,4600000,9500000,20,613,5200000,5900000,13700000,3000000, Approved
677,5, Not Graduate, Yes,4600000,12800000,14,769,13100000,8600000,12100000,3500000, Approved
678,1, Graduate, No,6500000,23100000,20,741,11400000,8500000,25700000,7900000, Approved
679,4, Not Graduate, Yes,4400000,16600000,14,889,800000,1400000,14900000,5900000, Approved
680,0, Not Graduate, Yes,900000,3600000,10,683,1400000,700000,3500000,400000, Approved
681,0, Not Graduate, Yes,3200000,7400000,18,780,4200000,2600000,9000000,2800000, Approved
682,3, Graduate, No,600000,1100000,8,538,500000,800000,1400000,300000, Rejected
683,1, Not Graduate, No,5200000,12600000,10,721,1100000,8700000,13900000,3600000, Approved
684,3, Not Graduate, Yes,6400000,15200000,14,467,15500000,9100000,18400000,3200000, Rejected
685,2, Not Graduate, No,1000000,2500000,6,551,1700000,200000,3700000,900000, Approved
686,2, Not Graduate, No,6800000,14800000,14,803,11300000,3300000,19600000,6600000, Approved
687,0, Graduate, No,3000000,8400000,10,361,7700000,200000,7300000,1800000, Rejected
688,1, Not Graduate, Yes,8700000,30700000,6,708,20600000,4500000,27600000,9300000, Approved
689,4, Graduate, Yes,8800000,20900000,18,766,13500000,15400000,34500000,13100000, Approved
690,1, Not Graduate, Yes,3900000,11500000,2,464,9300000,5700000,12400000,5100000, Rejected
691,5, Graduate, No,1700000,4300000,2,517,100000,200000,6200000,1600000, Rejected
692,3, Not Graduate, Yes,900000,2300000,6,747,1200000,200000,2900000,600000, Approved
693,1, Not Graduate, No,7200000,24700000,6,596,8800000,1400000,21700000,5800000, Approved
694,0, Graduate, No,9200000,25400000,2,783,25400000,2000000,19600000,12400000, Approved
695,3, Not Graduate, No,5700000,19400000,2,335,7400000,10600000,20600000,7100000, Approved
696,5, Not Graduate, Yes,1100000,2700000,4,889,1900000,1000000,2200000,500000, Approved
697,2, Not Graduate, Yes,1100000,2200000,4,874,1900000,1300000,2100000,900000, Approved
698,0, Graduate, Yes,6000000,23900000,4,394,6700000,5800000,21900000,4500000, Approved
699,2, Graduate, Yes,8100000,28500000,20,420,1500000,1400000,31800000,10000000, Rejected
700,2, Not Graduate, Yes,6500000,25100000,20,848,11500000,8600000,17400000,4400000, Approved
701,0, Graduate, Yes,7600000,17900000,16,788,1700000,7800000,27100000,5900000, Approved
702,1, Graduate, No,2200000,4900000,8,509,3800000,0,5400000,2900000, Rejected
703,4, Graduate, Yes,6300000,23900000,6,899,-100000,11400000,20600000,6700000, Approved
704,4, Not Graduate, Yes,6700000,15800000,12,466,7500000,4600000,19900000,6600000, Rejected
705,5, Graduate, Yes,1300000,4300000,2,595,1300000,500000,2900000,1500000, Approved
706,1, Not Graduate, No,2800000,6700000,12,322,1900000,2000000,8600000,2100000, Rejected
707,3, Graduate, No,7000000,18900000,2,691,6300000,7400000,15200000,3900000, Approved
708,3, Not Graduate, Yes,8800000,26700000,10,379,10100000,15500000,27000000,9700000, Rejected
709,0, Graduate, No,8900000,25800000,18,531,12400000,3400000,22900000,5400000, Rejected
710,5, Not Graduate, No,7000000,21800000,4,631,8100000,7100000,14600000,10000000, Approved
711,0, Graduate, Yes,6900000,18600000,10,330,19600000,9400000,16400000,4500000, Rejected
712,5, Graduate, No,9200000,29200000,16,383,17700000,13300000,30400000,5700000, Rejected
713,0, Graduate, Yes,6100000,19700000,16,678,13700000,2300000,19300000,5500000, Approved
714,1, Graduate, Yes,4400000,14700000,8,894,11400000,6300000,9400000,2400000, Approved
715,4, Not Graduate, No,9900000,22700000,12,567,28300000,9900000,29700000,5400000, Approved
716,5, Not Graduate, No,3900000,14000000,4,708,700000,1800000,15600000,5200000, Approved
717,3, Graduate, No,6800000,21200000,2,433,10700000,1900000,23200000,6300000, Approved
718,4, Not Graduate, No,3600000,8700000,14,302,6400000,3700000,7800000,4100000, Rejected
719,4, Graduate, No,700000,2600000,14,736,2100000,600000,1900000,400000, Approved
720,2, Not Graduate, Yes,4000000,8500000,6,323,11200000,1000000,14300000,4100000, Rejected
721,4, Graduate, No,1800000,4100000,12,670,1900000,2900000,4700000,2200000, Approved
722,3, Not Graduate, No,5600000,21000000,12,609,8800000,11000000,15800000,4900000, Approved
723,4, Not Graduate, No,6800000,24200000,18,349,18800000,0,15800000,9400000, Rejected
724,5, Not Graduate, Yes,600000,1500000,2,319,100000,1100000,2100000,600000, Rejected
725,1, Not Graduate, No,4200000,16200000,14,391,5800000,2100000,14100000,2600000, Rejected
726,4, Not Graduate, No,5000000,18700000,10,755,3600000,600000,13000000,2600000, Approved
727,1, Not Graduate, No,4100000,12200000,6,354,7300000,5600000,16300000,3500000, Rejected
728,3, Not Graduate, Yes,2200000,8800000,2,877,5000000,1300000,6400000,3100000, Approved
729,1, Not Graduate, No,3400000,8600000,16,312,6400000,6100000,8400000,3000000, Rejected
730,0, Graduate, No,7100000,15900000,14,746,9500000,3900000,23500000,8000000, Approved
731,3, Graduate, No,5800000,19600000,16,313,11100000,8100000,22700000,6300000, Rejected
732,2, Graduate, No,3400000,12900000,14,857,3400000,2500000,8700000,1900000, Approved
733,2, Not Graduate, No,7700000,18300000,20,504,14600000,500000,18300000,4600000, Rejected
734,0, Graduate, No,500000,1200000,14,556,900000,0,1800000,500000, Approved
735,2, Graduate, Yes,5300000,11000000,14,393,6800000,2400000,20500000,5200000, Rejected
736,0, Graduate, No,4700000,14400000,14,881,11000000,6100000,17600000,2400000, Approved
737,2, Graduate, Yes,4300000,12200000,14,719,5100000,2600000,14000000,5700000, Approved
738,2, Graduate, Yes,900000,2500000,16,458,-100000,100000,3200000,1100000, Rejected
739,4, Graduate, No,2000000,7500000,14,857,4300000,1500000,4200000,2100000, Approved
740,2, Graduate, Yes,2000000,7600000,16,429,5300000,3100000,5800000,2200000, Rejected
741,3, Not Graduate, No,4100000,15900000,12,538,3900000,800000,8800000,5700000, Rejected
742,1, Not Graduate, No,6900000,14400000,10,828,4600000,13000000,26700000,9000000, Approved
743,5, Graduate, Yes,2300000,6100000,6,339,5100000,2500000,8300000,2400000, Rejected
744,5, Graduate, Yes,5800000,16600000,18,376,2500000,7500000,21100000,2800000, Rejected
745,5, Not Graduate, No,8000000,30000000,14,549,14800000,200000,17300000,7000000, Rejected
746,3, Not Graduate, Yes,3700000,12700000,18,587,11000000,3100000,8800000,4100000, Approved
747,0, Not Graduate, No,2600000,8400000,18,861,0,3500000,6200000,3800000, Approved
748,0, Not Graduate, No,3000000,7000000,12,409,6400000,4900000,8000000,3500000, Rejected
749,4, Graduate, No,2700000,10200000,4,528,7800000,2200000,10000000,1600000, Approved
750,4, Not Graduate, No,5700000,19600000,8,691,8800000,2200000,12100000,3000000, Approved
751,2, Graduate, No,1500000,3600000,4,584,3900000,1300000,4800000,1700000, Approved
752,5, Not Graduate, No,6800000,20000000,4,459,14500000,3000000,25000000,4900000, Rejected
753,1, Graduate, Yes,8100000,31700000,10,755,0,12700000,30100000,4700000, Approved
754,3, Not Graduate, Yes,9200000,27700000,20,688,4800000,16300000,25800000,11200000, Approved
755,1, Not Graduate, Yes,7600000,26000000,6,384,2600000,1200000,20000000,7900000, Rejected
756,4, Graduate, No,600000,1600000,20,869,1400000,1000000,1700000,200000, Approved
757,1, Not Graduate, Yes,4700000,18700000,20,445,2100000,0,11100000,4000000, Rejected
758,0, Graduate, No,1400000,5500000,6,393,500000,1500000,5400000,1800000, Rejected
759,3, Graduate, Yes,9400000,24600000,10,414,8800000,13400000,23800000,5600000, Rejected
760,2, Graduate, No,9700000,19900000,16,395,2800000,13700000,37000000,10800000, Rejected
761,3, Not Graduate, Yes,8900000,21000000,14,815,200000,10800000,21600000,6400000, Approved
762,5, Graduate, No,4600000,10500000,8,758,3900000,4300000,15800000,2900000, Approved
763,5, Not Graduate, Yes,5600000,14500000,10,457,6900000,7800000,20600000,4600000, Rejected
764,0, Graduate, Yes,1000000,3200000,10,854,2600000,800000,2900000,1200000, Approved
765,3, Graduate, No,3500000,10300000,16,324,2400000,900000,12600000,2400000, Rejected
766,0, Not Graduate, No,7900000,31500000,14,849,19400000,10300000,26600000,10600000, Approved
767,3, Graduate, Yes,6100000,24200000,12,672,300000,11100000,23500000,5000000, Approved
768,3, Not Graduate, Yes,8900000,20900000,6,859,9600000,16500000,29300000,11100000, Approved
769,4, Graduate, No,5300000,15400000,8,584,5100000,1700000,14000000,5000000, Approved
770,5, Not Graduate, No,1300000,4800000,4,346,3200000,1600000,3400000,1600000, Approved
771,3, Graduate, No,4000000,12800000,18,635,6000000,7000000,12900000,4200000, Approved
772,2, Not Graduate, No,8700000,22700000,4,365,8200000,14800000,30200000,7200000, Rejected
773,1, Not Graduate, No,9500000,20000000,16,856,24900000,0,35700000,6200000, Approved
774,5, Graduate, Yes,9000000,20000000,2,440,17100000,1000000,28500000,7600000, Rejected
775,0, Graduate, Yes,7300000,23300000,2,616,15700000,5900000,25800000,4100000, Approved
776,3, Graduate, Yes,7400000,25700000,2,461,5700000,2900000,15100000,5100000, Approved
777,5, Not Graduate, No,3100000,10800000,10,681,5100000,1700000,7400000,1500000, Approved
778,2, Graduate, No,4300000,9400000,2,485,11000000,8100000,11000000,2200000, Rejected
779,1, Graduate, Yes,2400000,8300000,6,684,5500000,3500000,5300000,2300000, Approved
780,1, Graduate, No,5400000,17900000,14,727,13100000,0,12300000,4700000, Approved
781,2, Not Graduate, No,1600000,5100000,6,784,1400000,2400000,4500000,1400000, Approved
782,3, Not Graduate, Yes,9900000,20400000,4,865,26300000,3600000,36500000,12800000, Approved
783,3, Not Graduate, No,5800000,20100000,18,791,1400000,10800000,16300000,5600000, Approved
784,4, Not Graduate, No,2200000,8500000,16,866,4000000,1900000,6800000,2800000, Approved
785,0, Graduate, No,5000000,14400000,2,761,-100000,7300000,12600000,4500000, Approved
786,2, Not Graduate, Yes,600000,2100000,18,572,400000,500000,1400000,300000, Approved
787,4, Graduate, No,2200000,8600000,6,601,2700000,2900000,6700000,3300000, Approved
788,1, Graduate, Yes,2600000,5500000,14,820,2700000,2400000,9300000,2000000, Approved
789,4, Not Graduate, No,1200000,4300000,8,598,1600000,1800000,3200000,1300000, Approved
790,2, Graduate, No,3100000,8700000,18,544,5300000,1100000,12200000,1500000, Rejected
791,5, Not Graduate, Yes,4600000,14500000,14,561,2300000,6200000,10200000,5800000, Approved
792,4, Graduate, Yes,9300000,35500000,6,547,2800000,17800000,27000000,13900000, Rejected
793,4, Graduate, No,6300000,13400000,2,504,10500000,10900000,14500000,9400000, Rejected
794,2, Not Graduate, No,5900000,20800000,14,530,7100000,5800000,13100000,8800000, Rejected
795,2, Graduate, Yes,2900000,10600000,6,614,1000000,300000,7600000,3600000, Approved
796,4, Not Graduate, No,6100000,22400000,18,351,11800000,5000000,24400000,4800000, Rejected
797,4, Graduate, Yes,5900000,19700000,10,431,3300000,9200000,22700000,5300000, Rejected
798,1, Not Graduate, Yes,4600000,18400000,10,403,200000,8800000,17300000,2900000, Rejected
799,2, Not Graduate, No,7000000,20200000,8,668,16600000,5000000,26100000,9100000, Approved
800,3, Not Graduate, Yes,5100000,10400000,18,399,8000000,4300000,20100000,4600000, Rejected
801,1, Graduate, No,3100000,10600000,14,665,6200000,800000,9500000,3900000, Approved
802,2, Graduate, No,4100000,12800000,16,344,10300000,7000000,15800000,4100000, Rejected
803,0, Graduate, No,1800000,5400000,16,555,3900000,2900000,5100000,1700000, Approved
804,4, Not Graduate, Yes,8200000,26900000,20,301,23800000,13600000,31000000,9900000, Rejected
805,2, Not Graduate, Yes,800000,2100000,6,726,2000000,0,2600000,600000, Approved
806,2, Graduate, No,8400000,23100000,6,689,5700000,2500000,18900000,11900000, Approved
807,0, Not Graduate, No,8500000,33900000,4,665,8500000,12800000,17900000,4500000, Approved
808,3, Not Graduate, Yes,3300000,12700000,16,608,3600000,6200000,12600000,4500000, Approved
809,3, Not Graduate, No,5800000,12800000,20,335,4400000,3000000,15300000,8000000, Rejected
810,3, Not Graduate, No,4400000,10500000,18,677,100000,2000000,12100000,5000000, Approved
811,1, Not Graduate, No,2600000,8500000,2,491,1700000,1800000,5300000,2600000, Approved
812,2, Not Graduate, Yes,9600000,28100000,20,763,23000000,11800000,27500000,10300000, Approved
813,5, Not Graduate, Yes,5200000,18100000,8,809,2400000,6900000,14000000,5500000, Approved
814,5, Not Graduate, Yes,9700000,36400000,16,544,3500000,15000000,31300000,5200000, Rejected
815,1, Graduate, Yes,200000,800000,14,624,600000,0,600000,0, Approved
816,3, Graduate, No,6500000,16800000,10,388,9500000,800000,14900000,7200000, Rejected
817,4, Graduate, Yes,7200000,23100000,14,644,13300000,3500000,18300000,4200000, Approved
818,0, Not Graduate, No,5200000,18400000,14,600,7300000,9700000,16500000,3600000, Approved
819,2, Not Graduate, No,6500000,14100000,2,709,1000000,12700000,20900000,4000000, Approved
820,5, Graduate, Yes,2300000,5600000,8,642,2600000,1900000,8600000,2500000, Approved
821,0, Not Graduate, Yes,3300000,10400000,4,423,7400000,4700000,11600000,3200000, Approved
822,0, Not Graduate, Yes,2000000,5900000,12,900,3800000,2400000,7100000,3000000, Approved
823,2, Graduate, Yes,8300000,19500000,4,415,2300000,9400000,21700000,8600000, Rejected
824,4, Graduate, Yes,3800000,14300000,4,645,1300000,1100000,10900000,4600000, Approved
825,0, Not Graduate, No,5700000,15600000,16,742,700000,5800000,11400000,6800000, Approved
826,4, Not Graduate, No,7300000,19800000,8,724,5500000,6000000,29000000,10300000, Approved
827,1, Graduate, No,1600000,5400000,12,707,600000,1700000,6200000,800000, Approved
828,5, Not Graduate, Yes,800000,2500000,4,780,500000,900000,1700000,400000, Approved
829,4, Not Graduate, No,6300000,21900000,10,538,9600000,5400000,19300000,7800000, Rejected
830,2, Graduate, No,8800000,17700000,14,706,22900000,4300000,30300000,9200000, Approved
831,0, Graduate, No,7300000,14500000,16,811,1000000,12400000,16100000,9600000, Approved
832,2, Graduate, Yes,3800000,9100000,14,849,6300000,2400000,9500000,2500000, Approved
833,3, Graduate, No,6200000,16700000,10,880,15800000,8200000,20100000,9100000, Approved
834,5, Not Graduate, Yes,3500000,9500000,4,664,9500000,500000,7800000,5200000, Approved
835,5, Graduate, Yes,1400000,5000000,2,465,0,2600000,5300000,1500000, Approved
836,3, Not Graduate, Yes,3500000,12000000,2,786,600000,6400000,10700000,1700000, Approved
837,1, Graduate, Yes,600000,2000000,10,326,400000,1000000,2400000,700000, Rejected
838,0, Not Graduate, No,4100000,10800000,16,399,5900000,7600000,12700000,5300000, Rejected
839,2, Not Graduate, Yes,5400000,11500000,6,841,6800000,100000,11100000,6600000, Approved
840,2, Not Graduate, Yes,2000000,6700000,14,638,4900000,200000,4900000,2300000, Approved
841,4, Graduate, Yes,3500000,8900000,4,478,4000000,3900000,11300000,3800000, Rejected
842,0, Graduate, Yes,8300000,30000000,4,600,14600000,12500000,24800000,12000000, Approved
843,0, Graduate, Yes,6700000,15600000,16,768,300000,1800000,26000000,3800000, Approved
844,0, Not Graduate, No,1900000,6500000,10,523,2400000,1100000,6200000,1100000, Rejected
845,2, Graduate, Yes,6500000,20900000,14,327,8200000,100000,22800000,4700000, Rejected
846,1, Graduate, Yes,600000,1800000,8,799,1000000,700000,2200000,800000, Approved
847,5, Graduate, No,7000000,23000000,18,803,18700000,6300000,27800000,4100000, Approved
848,2, Graduate, No,7700000,15400000,18,524,12900000,5100000,21000000,6600000, Rejected
849,1, Graduate, No,2600000,6600000,6,506,2300000,1900000,9600000,2100000, Rejected
850,1, Graduate, No,9200000,18800000,2,351,22400000,2200000,31500000,13000000, Rejected
851,2, Graduate, Yes,1800000,4200000,8,648,1200000,3100000,6200000,1600000, Approved
852,1, Not Graduate, No,4900000,18500000,4,612,6100000,5900000,16400000,2900000, Approved
853,1, Graduate, No,5700000,12400000,14,396,5400000,7500000,17600000,5600000, Rejected
854,3, Not Graduate, No,300000,800000,2,458,500000,0,1100000,200000, Rejected
855,3, Graduate, Yes,1700000,3400000,6,488,100000,500000,4500000,1600000, Rejected
856,4, Graduate, No,7000000,18900000,6,475,1300000,6100000,14700000,5200000, Rejected
857,1, Not Graduate, No,2200000,7000000,18,417,2000000,3900000,6500000,1900000, Rejected
858,2, Not Graduate, No,6800000,18700000,8,781,17600000,900000,23700000,5400000, Approved
859,1, Not Graduate, Yes,2400000,6200000,12,337,3400000,2100000,9400000,2300000, Rejected
860,0, Not Graduate, Yes,600000,1800000,12,511,300000,200000,2200000,400000, Rejected
861,4, Graduate, No,6200000,17300000,6,837,12600000,3700000,24700000,4600000, Approved
862,1, Not Graduate, No,7600000,24600000,12,810,1300000,10500000,30300000,5200000, Approved
863,2, Not Graduate, No,4800000,10600000,8,588,3700000,5200000,15000000,4500000, Approved
864,5, Graduate, No,4200000,9200000,12,870,3200000,2400000,12300000,5700000, Approved
865,0, Not Graduate, Yes,7200000,20700000,10,733,15600000,12000000,19200000,9900000, Approved
866,5, Not Graduate, Yes,6400000,20300000,16,348,10000000,10900000,20400000,6900000, Rejected
867,0, Not Graduate, Yes,8900000,23000000,12,741,5600000,11200000,27100000,7100000, Approved
868,3, Not Graduate, No,5100000,14500000,12,306,700000,8800000,11600000,2900000, Rejected
869,2, Graduate, Yes,6300000,19500000,18,428,15900000,7200000,19900000,6500000, Rejected
870,3, Graduate, No,6600000,22100000,4,455,3800000,3000000,25100000,7400000, Approved
871,1, Not Graduate, Yes,4800000,14700000,2,356,7100000,8800000,13400000,5500000, Approved
872,0, Graduate, No,200000,400000,4,594,500000,0,400000,100000, Approved
873,0, Not Graduate, Yes,7500000,25800000,18,844,9100000,600000,18600000,6500000, Approved
874,4, Graduate, No,9000000,34700000,4,771,4800000,9500000,34100000,7700000, Approved
875,2, Graduate, No,5400000,12500000,4,622,14400000,2900000,11800000,5400000, Approved
876,1, Not Graduate, Yes,1700000,4500000,20,480,200000,600000,5400000,1900000, Rejected
877,4, Graduate, No,4300000,11500000,20,337,11100000,6000000,17000000,5200000, Rejected
878,1, Graduate, No,5200000,11200000,6,698,14100000,7600000,18800000,2700000, Approved
879,4, Not Graduate, No,4400000,17000000,18,302,1000000,2100000,14000000,5700000, Rejected
880,1, Not Graduate, Yes,3900000,7800000,14,349,11200000,500000,11800000,3600000, Rejected
881,0, Graduate, No,1100000,3300000,10,482,2800000,300000,2900000,1600000, Rejected
882,2, Graduate, No,2500000,8200000,10,429,1500000,4100000,5900000,2200000, Rejected
883,4, Graduate, No,500000,1300000,8,471,500000,300000,1500000,700000, Rejected
884,0, Graduate, Yes,9000000,32400000,10,895,16800000,5800000,20700000,9500000, Approved
885,1, Not Graduate, Yes,5100000,20300000,18,757,11800000,3400000,13400000,3200000, Approved
886,2, Graduate, No,5200000,13500000,2,777,7000000,5200000,15500000,6100000, Approved
887,5, Not Graduate, Yes,4400000,8900000,4,761,8100000,1000000,14200000,3000000, Approved
888,1, Graduate, No,1900000,4200000,12,821,5200000,1500000,5000000,2700000, Approved
889,4, Not Graduate, Yes,9200000,26500000,6,662,1000000,400000,26900000,5300000, Approved
890,2, Not Graduate, Yes,4800000,16500000,10,350,2000000,6500000,11400000,2900000, Rejected
891,4, Not Graduate, No,4900000,10700000,20,321,1200000,400000,11100000,6500000, Rejected
892,3, Graduate, Yes,4800000,10100000,4,368,9100000,5100000,16500000,3500000, Rejected
893,4, Graduate, No,9300000,24900000,14,455,27600000,4700000,35100000,13900000, Rejected
894,5, Not Graduate, Yes,7500000,24600000,8,744,1600000,3600000,16700000,9300000, Approved
895,1, Graduate, No,5900000,16800000,4,806,11200000,9700000,22800000,7100000, Approved
896,0, Graduate, No,9400000,27900000,6,456,21400000,18500000,35600000,7800000, Rejected
897,5, Graduate, No,5300000,13400000,8,719,1600000,200000,11400000,5300000, Approved
898,4, Graduate, No,3700000,9000000,18,668,7800000,1600000,13400000,3100000, Approved
899,0, Graduate, Yes,2500000,5800000,18,494,5100000,4400000,8500000,2300000, Rejected
900,4, Not Graduate, No,2800000,10800000,2,841,700000,2600000,7100000,4100000, Approved
901,0, Graduate, Yes,5400000,21400000,8,721,8200000,6400000,16700000,7400000, Approved
902,5, Graduate, No,3100000,9400000,10,414,200000,5300000,8000000,2800000, Rejected
903,5, Not Graduate, No,4800000,15500000,10,812,9500000,1500000,17800000,3500000, Approved
904,1, Not Graduate, No,8800000,17500000,20,832,1800000,3600000,24000000,7400000, Approved
905,2, Graduate, No,4100000,14900000,12,571,-100000,5200000,13000000,3400000, Approved
906,5, Not Graduate, No,9700000,37000000,14,459,28700000,17900000,22800000,5600000, Rejected
907,2, Graduate, Yes,6400000,24100000,6,592,2500000,6300000,20200000,6000000, Approved
908,5, Graduate, No,3400000,13100000,20,527,900000,4500000,8600000,4000000, Rejected
909,4, Not Graduate, No,3500000,10200000,12,333,7600000,6400000,8100000,3400000, Rejected
910,3, Not Graduate, No,3200000,10000000,18,532,3300000,100000,9800000,2100000, Rejected
911,2, Graduate, Yes,4900000,13100000,18,754,8200000,3300000,16500000,7200000, Approved
912,0, Graduate, Yes,1300000,4800000,4,835,500000,100000,3300000,800000, Rejected
913,4, Graduate, No,2500000,5400000,10,592,3400000,1500000,9900000,2900000, Approved
914,0, Graduate, No,7500000,27300000,20,553,11600000,2800000,26200000,6100000, Approved
915,2, Graduate, No,700000,2000000,8,806,1900000,1100000,2200000,400000, Approved
916,4, Graduate, Yes,8200000,28500000,2,378,6800000,11200000,26400000,11500000, Approved
917,1, Not Graduate, No,6900000,26200000,4,534,14500000,11900000,14900000,9400000, Approved
918,1, Not Graduate, Yes,1500000,5900000,16,400,4200000,2400000,4800000,1500000, Rejected
919,3, Graduate, No,6300000,18300000,18,543,1800000,9400000,17700000,3500000, Rejected
920,0, Not Graduate, Yes,8800000,25600000,10,715,25300000,2500000,34900000,8600000, Approved
921,4, Graduate, Yes,8900000,20700000,6,684,1100000,9200000,20400000,6700000, Approved
922,3, Not Graduate, Yes,2100000,6100000,8,346,5500000,600000,4500000,2900000, Rejected
923,1, Graduate, Yes,9200000,29200000,6,669,9900000,12900000,23400000,11700000, Approved
924,2, Not Graduate, No,3600000,8000000,12,566,10500000,3000000,8900000,2700000, Approved
925,0, Not Graduate, Yes,8600000,23600000,2,361,25800000,5300000,24700000,7500000, Rejected
926,5, Graduate, No,3000000,8000000,6,333,3200000,400000,8200000,2200000, Rejected
927,3, Not Graduate, Yes,5200000,16300000,8,335,9500000,7000000,13600000,7300000, Rejected
928,3, Graduate, Yes,7200000,20400000,10,558,0,13200000,27200000,10600000, Approved
929,1, Not Graduate, Yes,4000000,15600000,12,436,10400000,2800000,14800000,3200000, Rejected
